"Project","Issue Type","File Name","Element","Line No","Activity","Comment"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\scan_it_dialog_item_list_layout.xml","ListView","6",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\scan_it_failure_overlay_layout.xml","ImageView","4",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\scan_it_failure_overlay_layout.xml","ImageView","6",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\scan_it_failure_overlay_layout.xml","ImageView","8",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\scan_it_failure_overlay_layout.xml","ImageView","11",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\scan_it_failure_overlay_layout.xml","ImageView","15",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\scan_it_failure_overlay_layout.xml","ImageView","16",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\scan_it_failure_overlay_layout.xml","ImageView","17",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\scan_it_failure_overlay_layout.xml","ImageView","18",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\scan_it_failure_overlay_layout.xml","ImageView","19",,"android:contentDescription:null"
